s: 125.209.254.196, d: 192.168.0.82, seq: 2667238622
s: 125.209.254.196, d: 192.168.0.82, seq: 2667254550
s: 125.209.254.196, d: 192.168.0.82, seq: 2667258894
s: 125.209.254.196, d: 192.168.0.82, seq: 2667273374
s: 125.209.254.196, d: 192.168.0.82, seq: 2667285279
s: 125.209.254.196, d: 192.168.0.82, seq: 2667292473
s: 125.209.254.196, d: 192.168.0.82, seq: 2667299751
s: 125.209.254.196, d: 192.168.0.82, seq: 2667308702
s: 125.209.254.196, d: 192.168.0.82, seq: 2667310150
s: 125.209.254.196, d: 192.168.0.82, seq: 2667313046
s: 125.209.254.196, d: 192.168.0.82, seq: 2667315942
s: 125.209.254.196, d: 192.168.0.82, seq: 2667317390
s: 125.209.254.196, d: 192.168.0.82, seq: 2667320286
s: 125.209.254.196, d: 192.168.0.82, seq: 2667321734
s: 125.209.254.196, d: 192.168.0.82, seq: 2667324630
s: 125.209.254.196, d: 192.168.0.82, seq: 2667326078
s: 125.209.254.196, d: 192.168.0.82, seq: 2667327526
s: 125.209.254.196, d: 192.168.0.82, seq: 2667328974
s: 125.209.254.196, d: 192.168.0.82, seq: 2667331870
s: 125.209.254.196, d: 192.168.0.82, seq: 2667334766
s: 125.209.254.196, d: 192.168.0.82, seq: 2667336214
s: 125.209.254.196, d: 192.168.0.82, seq: 2667337662
s: 125.209.254.196, d: 192.168.0.82, seq: 2667340558
s: 125.209.254.196, d: 192.168.0.82, seq: 2667342006
s: 125.209.254.196, d: 192.168.0.82, seq: 2667344902
s: 125.209.254.196, d: 192.168.0.82, seq: 2667346350
s: 125.209.254.196, d: 192.168.0.82, seq: 2667347798
s: 125.209.254.196, d: 192.168.0.82, seq: 2667349246
s: 125.209.254.196, d: 192.168.0.82, seq: 2667352162
s: 125.209.254.196, d: 192.168.0.82, seq: 2667353610
s: 125.209.254.196, d: 192.168.0.82, seq: 2667359354
s: 125.209.254.196, d: 192.168.0.82, seq: 2667365146
s: 125.209.254.196, d: 192.168.0.82, seq: 2667366632
s: 125.209.254.196, d: 192.168.0.82, seq: 2667368080
s: 125.209.254.196, d: 192.168.0.82, seq: 2667369528
s: 125.209.254.196, d: 192.168.0.82, seq: 2667373872
s: 125.209.254.196, d: 192.168.0.82, seq: 2667375320
s: 125.209.254.196, d: 192.168.0.82, seq: 2667376768
s: 125.209.254.196, d: 192.168.0.82, seq: 2667383045
s: 125.209.254.196, d: 192.168.0.82, seq: 2667388909
s: 210.89.168.147, d: 192.168.0.82, seq: 4259000118
s: 125.209.254.162, d: 192.168.0.82, seq: 2764655704
s: 125.209.254.162, d: 192.168.0.82, seq: 2764657152
s: 125.209.254.162, d: 192.168.0.82, seq: 2764658600
s: 210.89.168.147, d: 192.168.0.82, seq: 2822647964
s: 54.187.46.234, d: 192.168.0.82, seq: 2376732274
s: 54.187.46.234, d: 192.168.0.82, seq: 2376732325
s: 125.209.254.196, d: 192.168.0.82, seq: 2667391015
s: 125.209.254.196, d: 192.168.0.82, seq: 2667391015
s: 210.89.168.147, d: 192.168.0.82, seq: 4259000363
s: 125.209.254.196, d: 192.168.0.82, seq: 2667391015
s: 125.209.254.196, d: 192.168.0.82, seq: 2667392463
s: 125.209.254.196, d: 192.168.0.82, seq: 2667395359
s: 125.209.254.196, d: 192.168.0.82, seq: 2667398255
s: 54.187.46.234, d: 192.168.0.82, seq: 3281473838
s: 54.187.46.234, d: 192.168.0.82, seq: 3281473889
s: 210.89.172.9, d: 192.168.0.82, seq: 4031702569
s: 210.89.172.9, d: 192.168.0.82, seq: 4031702570
s: 210.89.172.9, d: 192.168.0.82, seq: 4031702570
s: 210.89.172.9, d: 192.168.0.82, seq: 4031705466
s: 210.89.172.9, d: 192.168.0.82, seq: 4031709136
s: 210.89.172.9, d: 192.168.0.82, seq: 4031709394
s: 210.89.172.9, d: 192.168.0.82, seq: 4031709868
s: 125.209.254.162, d: 192.168.0.82, seq: 2764661334
s: 125.209.254.162, d: 192.168.0.82, seq: 2764665678
s: 125.209.254.162, d: 192.168.0.82, seq: 2764669984
s: 125.209.254.162, d: 192.168.0.82, seq: 2764672880
s: 125.209.254.162, d: 192.168.0.82, seq: 2764675814
s: 125.209.254.162, d: 192.168.0.82, seq: 2764677262
s: 125.209.254.162, d: 192.168.0.82, seq: 2764678710
s: 125.209.254.162, d: 192.168.0.82, seq: 2764690332
s: 125.209.254.162, d: 192.168.0.82, seq: 2764706745
s: 125.209.254.162, d: 192.168.0.82, seq: 2764716481
s: 125.209.254.162, d: 192.168.0.82, seq: 2764716481
s: 125.209.254.162, d: 192.168.0.82, seq: 2764735305
s: 125.209.254.162, d: 192.168.0.82, seq: 2764743993
s: 125.209.254.162, d: 192.168.0.82, seq: 2764746889
s: 125.209.254.162, d: 192.168.0.82, seq: 2764754129
s: 125.209.254.162, d: 192.168.0.82, seq: 2764761369
s: 125.209.254.162, d: 192.168.0.82, seq: 2764764265
